epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,5111.89,0.52876,0.33095,1.05412,0.99323,0.99123,0.9946,0.88978,0.49104,0.25616,1.00905,0.002674,0.002674,0.002674
76,5177.68,0.52266,0.32427,1.04352,0.98203,1,0.99456,0.89807,0.45456,0.24287,0.98352,0.002575,0.002575,0.002575
77,5244.51,0.52659,0.32944,1.0471,0.99487,0.99123,0.99421,0.90341,0.4749,0.24876,0.99519,0.002476,0.002476,0.002476
78,5310.19,0.51786,0.32663,1.04326,0.99129,0.99874,0.99425,0.89414,0.47429,0.24844,0.99964,0.002377,0.002377,0.002377
79,5377.64,0.51079,0.31518,1.04002,0.99076,1,0.99461,0.90088,0.45688,0.23769,0.97984,0.002278,0.002278,0.002278
80,5443.69,0.49703,0.30887,1.03475,0.99493,1,0.99469,0.8997,0.45714,0.24126,0.97672,0.002179,0.002179,0.002179
81,5511.06,0.50834,0.31526,1.03962,0.99412,1,0.99395,0.9075,0.45033,0.23245,0.96742,0.00208,0.00208,0.00208
82,5577.94,0.50278,0.31222,1.02692,0.99063,1,0.99447,0.90013,0.47157,0.23559,0.98873,0.001981,0.001981,0.001981
83,5644.43,0.49243,0.30536,1.02897,0.99078,1,0.99443,0.90902,0.43704,0.2198,0.95946,0.001882,0.001882,0.001882
84,5711,0.49628,0.3101,1.03343,0.99084,1,0.99452,0.90529,0.44286,0.22662,0.96325,0.001783,0.001783,0.001783
85,5777.48,0.48186,0.30471,1.03122,0.9932,0.99123,0.99456,0.89995,0.45732,0.22944,0.97536,0.001684,0.001684,0.001684
86,5844.57,0.48838,0.30409,1.02584,0.99563,0.99879,0.99413,0.90382,0.45676,0.22862,0.977,0.001585,0.001585,0.001585
87,5912.3,0.49301,0.30631,1.03236,0.99076,1,0.99447,0.9083,0.44346,0.22338,0.97338,0.001486,0.001486,0.001486
88,5980.46,0.47262,0.2952,1.01888,0.99076,1,0.99434,0.90612,0.437,0.22744,0.97163,0.001387,0.001387,0.001387
89,6048.67,0.47777,0.29954,1.01967,0.99079,1,0.99443,0.90935,0.43132,0.22212,0.96667,0.001288,0.001288,0.001288
90,6115.59,0.46692,0.29259,1.01921,0.99077,1,0.99434,0.91002,0.43265,0.21864,0.96527,0.001189,0.001189,0.001189
91,6222.55,0.34669,0.20481,0.93634,0.99563,0.99892,0.99426,0.91153,0.43791,0.22514,0.96519,0.00109,0.00109,0.00109
92,6288.3,0.34033,0.19491,0.93011,0.99501,1,0.99456,0.90987,0.44194,0.21795,0.96704,0.000991,0.000991,0.000991
93,6354.51,0.3393,0.1918,0.93368,0.99527,1,0.99439,0.91693,0.43191,0.21865,0.95752,0.000892,0.000892,0.000892
94,6420.56,0.33498,0.18524,0.92654,0.99517,1,0.99461,0.91133,0.42574,0.20872,0.95562,0.000793,0.000793,0.000793
95,6487.5,0.32038,0.18198,0.91926,0.99526,1,0.99448,0.91502,0.42364,0.20858,0.95345,0.000694,0.000694,0.000694
96,6553.59,0.31306,0.17897,0.91781,0.99521,1,0.99452,0.91292,0.42312,0.20786,0.95289,0.000595,0.000595,0.000595
97,6620.98,0.30741,0.17634,0.92275,0.99521,1,0.99452,0.91503,0.4123,0.20451,0.95186,0.000496,0.000496,0.000496
98,6691.04,0.30206,0.17398,0.91228,0.99526,1,0.99417,0.91349,0.41825,0.20537,0.95088,0.000397,0.000397,0.000397
99,6760.33,0.3026,0.1743,0.91205,0.9953,1,0.99443,0.91752,0.40957,0.20437,0.95249,0.000298,0.000298,0.000298
100,6828.14,0.30242,0.17362,0.91981,0.99524,1,0.99456,0.9191,0.40888,0.20241,0.95095,0.000199,0.000199,0.000199
